Level,Date and Time,Source,Event ID,Task Category
Information,08/08/2018 12:24:37,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎2005‎-‎05‎-‎17T04:25:49.000000000Z) has successfully loaded and registered with Filter Manager."
Information,08/08/2018 12:24:37,Microsoft-Windows-FilterManager,6,None,"File System Filter 'luafv' (10.0, ‎2043‎-‎06‎-‎20T21:30:28.000000000Z) has successfully loaded and registered with Filter Manager."
Information,08/08/2018 12:24:37,Microsoft-Windows-FilterManager,6,None,"File System Filter 'wcifs' (10.0, ‎2024‎-‎12‎-‎17T03:40:30.000000000Z) has successfully loaded and registered with Filter Manager."
Information,08/08/2018 12:24:37,Microsoft-Windows-DHCPv6-Client,51046,Service State Event,DHCPv6 client service is started
Information,08/08/2018 12:24:37,Microsoft-Windows-Dhcp-Client,50103,Service State Event,DHCPv4 client registered for shutdown notification
Information,08/08/2018 12:24:37,Microsoft-Windows-Dhcp-Client,50036,Service State Event,DHCPv4 client service is started
Information,08/08/2018 12:24:36,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,08/08/2018 12:24:36,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,08/08/2018 12:24:36,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,08/08/2018 12:24:36,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,08/08/2018 12:24:35,Microsoft-Windows-Directory-Services-SAM,16962,None,"Remote calls to the SAM database are being restricted using the default security descriptor: O:SYG:SYD:(A;;RC;;;BA).
For more information please see http://go.microsoft.com/fwlink/?LinkId=787651."
Information,08/08/2018 12:24:35,Microsoft-Windows-Wininit,14,None,"Credential Guard (LsaIso.exe) configuration: 0x0, 0"
Warning,08/08/2018 12:24:33,Microsoft-Windows-Kernel-PnP,219,(212),The driver \Driver\WudfRd failed to load for the device {5E9A8CDC-14AB-4609-A017-68BCE594AB68}\SurfaceBaseFwUpdate\8&18c2e47d&0&1.
Information,08/08/2018 12:24:33,Microsoft-Windows-DriverFrameworks-UserMode,10118,Startup of the UMDF reflector,"UMDF reflector is unable to connect to service control manager (SCM). This is expected during boot, when SCM has not started yet. Will retry when it starts."
Warning,08/08/2018 12:24:33,Microsoft-Windows-Kernel-PnP,219,(212),The driver \Driver\WudfRd failed to load for the device {4E781CFC-87EE-459B-A319-9B0531EB7485}\SurfaceKeyboardAmbientBacklight\8&18c2e47d&0&0.
Information,08/08/2018 12:24:33,Microsoft-Windows-DriverFrameworks-UserMode,10118,Startup of the UMDF reflector,"UMDF reflector is unable to connect to service control manager (SCM). This is expected during boot, when SCM has not started yet. Will retry when it starts."
Warning,08/08/2018 12:24:31,BTHUSB,34,None,The local adapter does not support an important Low Energy controller state to support peripheral mode. The minimum required supported state mask is 0x491f7fffff; got 0x1fffffff. Low Energy peripheral role functionality will not be available.
Information,08/08/2018 12:24:31,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during start-up.
Warning,08/08/2018 12:24:30,Microsoft-Windows-Kernel-PnP,219,(212),The driver \Driver\WudfRd failed to load for the device {6c8abe47-dac0-4b99-affa-4fff050e3cdc}\SurfaceDigitizerPenPairing\5&141f7bd2&0&0.
Information,08/08/2018 12:24:30,Microsoft-Windows-DriverFrameworks-UserMode,10118,Startup of the UMDF reflector,"UMDF reflector is unable to connect to service control manager (SCM). This is expected during boot, when SCM has not started yet. Will retry when it starts."
Warning,08/08/2018 12:24:30,Microsoft-Windows-Kernel-PnP,219,(212),The driver \Driver\WudfRd failed to load for the device HID\MSHW0030&Col01\5&294f3b18&0&0000.
Information,08/08/2018 12:24:30,Microsoft-Windows-DriverFrameworks-UserMode,10118,Startup of the UMDF reflector,"UMDF reflector is unable to connect to service control manager (SCM). This is expected during boot, when SCM has not started yet. Will retry when it starts."
Information,08/08/2018 12:24:29,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,08/08/2018 12:24:29,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,08/08/2018 12:24:28,MEIx64,2,None,Intel(R) Management Engine Interface driver has started successfully.
Information,08/08/2018 12:24:27,SurfaceStorageFwUpdate,4,None,Storage Firmware install failed.
Information,08/08/2018 12:24:25,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 3 in group 0 exposes the following power management capabilities:

Idle state type: Micro Power Engine Plugin (11 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 2808
Maximum performance percentage: 121
Minimum performance percentage: 32
Minimum throttle percentage: 3"
Information,08/08/2018 12:24:25,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 1 in group 0 exposes the following power management capabilities:

Idle state type: Micro Power Engine Plugin (11 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 2808
Maximum performance percentage: 121
Minimum performance percentage: 32
Minimum throttle percentage: 3"
